dimension,segment,n_loans,n_defaults,default_rate,auc,gini,ks
aggregate,all_test,353083,82122,0.232586,0.7059,0.4118,0.2968
vintage,2016,293105,68252,0.232859,0.7077,0.4153,0.2991
vintage,2017,59978,13870,0.231251,0.6969,0.3939,0.2868
grade,A,57608,4088,0.070962,0.6437,0.2874,0.2157
grade,B,105788,16924,0.15998,0.6044,0.2088,0.1522
grade,C,107070,27982,0.261343,0.5942,0.1883,0.1343
grade,D,49153,17472,0.355462,0.5884,0.1768,0.1241
grade,E,22443,9797,0.436528,0.5923,0.1846,0.1358
grade,F,8546,4474,0.52352,0.5934,0.1868,0.1298
grade,G,2475,1385,0.559596,0.5852,0.1704,0.1351
