feature,type,n_bins,iv,status,monotonic_trend
sub_grade,categorical,17,0.503695,selected,auto
grade,categorical,5,0.46995,selected,auto
int_rate,numerical,14,0.469524,selected,auto
term_months,numerical,2,0.240282,selected,auto
fico_range_low,numerical,13,0.122064,selected,auto
fico_range_high,numerical,13,0.122064,selected,auto
dti,numerical,14,0.076133,selected,auto
verification_status,categorical,3,0.051282,selected,auto
funded_amnt,numerical,8,0.037309,selected,auto
loan_amnt,numerical,8,0.037259,selected,auto
annual_inc,numerical,12,0.032081,selected,auto
installment,numerical,8,0.029841,selected,auto
mort_acc,numerical,6,0.029553,selected,auto
inq_last_6mths,numerical,4,0.027567,selected,auto
revol_util,numerical,13,0.022888,selected,auto
home_ownership,categorical,3,0.020857,selected,auto
unrate,numerical,7,0.018726,selected_forced,auto
issue_year,numerical,4,0.017185,selected_forced,auto
hpi_yoy,numerical,10,0.016948,selected_forced,auto
