feature,coefficient,iv,status
annual_inc,-0.736120412504803,0.032081445351524226,selected
term_months,-0.5876987564271301,0.24028228692956213,selected
home_ownership,-0.5791749264512154,0.020856667884358904,selected
mort_acc,-0.5290943780653645,0.029552986857912314,selected
inq_last_6mths,-0.5151816876789389,0.02756721416425847,selected
dti,-0.4680766997154245,0.07613323246927739,selected
sub_grade,-0.418511414259755,0.5036950598018402,selected
unrate,-0.40908679936607534,0.018726060725873503,selected_forced
hpi_yoy,-0.3597794784863631,0.016947776242946726,selected_forced
issue_year,-0.3314624027279192,0.017184661170556965,selected_forced
installment,-0.2674523281419136,0.029840875662121683,selected
revol_util,0.26255169661177125,0.022887873451643975,selected
int_rate,-0.231268388513851,0.46952387027103176,selected
fico_range_high,-0.1867349701212715,0.12206420289355521,selected
fico_range_low,-0.1867349701212715,0.12206420289355521,selected
verification_status,-0.15796055772718515,0.05128238330749519,selected
loan_amnt,-0.15201217970642175,0.03725946145701815,selected
funded_amnt,-0.14519761701317058,0.037308719546229566,selected
grade,-0.012328098675666284,0.4699504071735099,selected
