yr,count,ecl_baseline,ecl_adverse,ecl_severe,ecl_final,overlay_multiplier
2007,249,0.0,0.0,0.0,0.0,
2008,1562,0.0,0.0,0.0,0.0,
2009,4716,0.0,0.0,0.0,0.0,
2010,11536,0.0,0.0,0.0,0.0,
2011,21721,0.0,0.0,0.0,0.0,
2012,53367,0.0,0.0,0.0,0.0,
2013,134804,0.0,0.0,0.0,0.0,
2014,223103,17111642.1565,15932602.6944,15932602.6944,16522122.4254,0.9655
2015,375546,144224321.5168,134618668.7053,133690793.4049,139235920.051,0.9654
2016,293105,177520137.4554,167336763.7948,165702072.801,172101512.4263,0.9695
2017,59978,64680399.4365,61467756.1298,60908188.711,62962164.2994,0.9734
