grade,purpose,n,observed,predicted,abs_error
A,car,59,0.900793,0.895674,0.005119
A,credit_card,1193,0.919989,0.896227,0.023762
A,debt_consolidation,2014,0.919822,0.89399,0.025832
A,home_improvement,352,0.921903,0.895674,0.026229
A,house,11,0.964811,0.895674,0.069137
A,major_purchase,118,0.898313,0.895674,0.002639
A,medical,57,0.891703,0.895674,0.003971
A,moving,19,0.903708,0.895674,0.008034
A,other,188,0.918418,0.895674,0.022744
A,renewable_energy,3,0.937573,0.895674,0.041899
A,small_business,37,0.899553,0.895674,0.003879
A,vacation,36,0.90871,0.895674,0.013036
B,car,177,0.924321,0.896673,0.027648
B,credit_card,4196,0.916205,0.898821,0.017384
B,debt_consolidation,9422,0.915872,0.894668,0.021204
B,home_improvement,1138,0.919737,0.899121,0.020616
B,house,51,0.931456,0.896673,0.034783
B,major_purchase,381,0.922253,0.892064,0.030189
B,medical,255,0.919626,0.896673,0.022953
B,moving,118,0.899276,0.896673,0.002603
B,other,884,0.911439,0.901791,0.009648
B,renewable_energy,9,0.944749,0.896673,0.048076
B,small_business,142,0.910582,0.896673,0.013909
B,vacation,145,0.915118,0.896673,0.018445
C,car,218,0.934585,0.895723,0.038862
C,credit_card,5282,0.917536,0.898983,0.018553
C,debt_consolidation,16846,0.9163,0.894889,0.021411
C,home_improvement,1817,0.914839,0.894318,0.020521
C,house,115,0.899251,0.895723,0.003528
C,major_purchase,566,0.916942,0.899671,0.017271
C,medical,428,0.914172,0.895723,0.018449
C,moving,242,0.913149,0.895723,0.017426
C,other,1849,0.913851,0.892899,0.020952
C,renewable_energy,18,0.89889,0.895723,0.003167
C,small_business,355,0.928378,0.895723,0.032655
C,vacation,245,0.901826,0.895723,0.006103
D,car,141,0.91557,0.896474,0.019096
D,credit_card,2505,0.914745,0.897502,0.017243
D,debt_consolidation,11199,0.915695,0.897075,0.01862
D,home_improvement,996,0.915832,0.892663,0.023169
D,house,112,0.923397,0.896474,0.026923
D,major_purchase,380,0.918153,0.898637,0.019516
D,medical,240,0.910011,0.896474,0.013537
D,moving,176,0.917961,0.896474,0.021487
D,other,1245,0.912288,0.890616,0.021672
D,renewable_energy,15,0.908099,0.896474,0.011625
D,small_business,341,0.920219,0.903247,0.016972
D,vacation,122,0.921083,0.896474,0.024609
E,car,64,0.937899,0.896647,0.041252
E,credit_card,1199,0.913109,0.89939,0.013719
E,debt_consolidation,6447,0.915542,0.8961,0.019442
E,home_improvement,538,0.918007,0.901824,0.016183
E,house,79,0.921821,0.896647,0.025174
E,major_purchase,222,0.921992,0.896647,0.025345
E,medical,113,0.887452,0.896647,0.009195
E,moving,88,0.926211,0.896647,0.029564
E,other,738,0.903699,0.889923,0.013776
E,renewable_energy,10,0.931293,0.896647,0.034646
E,small_business,242,0.928975,0.902666,0.026309
E,vacation,54,0.891392,0.896647,0.005255
F,car,15,0.9087,0.893471,0.015229
F,credit_card,406,0.907912,0.889796,0.018116
F,debt_consolidation,3118,0.912275,0.894147,0.018128
F,home_improvement,218,0.916202,0.893471,0.022731
F,house,56,0.925242,0.893471,0.031771
F,major_purchase,101,0.914219,0.893471,0.020748
F,medical,46,0.902248,0.893471,0.008777
F,moving,43,0.894911,0.893471,0.00144
F,other,328,0.921158,0.889142,0.032016
F,renewable_energy,8,0.929886,0.893471,0.036415
F,small_business,121,0.928445,0.893471,0.034974
F,vacation,14,0.932859,0.893471,0.039388
G,car,4,0.90579,0.892509,0.013281
G,credit_card,111,0.897538,0.892509,0.005029
G,debt_consolidation,934,0.908496,0.89106,0.017436
G,home_improvement,61,0.896569,0.892509,0.00406
G,house,30,0.884066,0.892509,0.008443
G,major_purchase,29,0.937988,0.892509,0.045479
G,medical,9,0.858342,0.892509,0.034167
G,moving,18,0.921438,0.892509,0.028929
G,other,132,0.910329,0.892509,0.01782
G,renewable_energy,1,0.877882,0.892509,0.014627
G,small_business,53,0.930939,0.892509,0.03843
G,vacation,3,0.893262,0.892509,0.000753
