bin,n,bin_low,bin_high,pred_pd,obs_rate,difference
1,35309,0.092094,0.113912,0.104516,0.047467,0.057049
2,35308,0.113912,0.131351,0.122819,0.092982,0.029838
3,35308,0.131351,0.147578,0.139419,0.129036,0.010383
4,35308,0.147578,0.165705,0.156406,0.165005,-0.008599
5,35309,0.165705,0.187171,0.176062,0.19454,-0.018477
6,35308,0.187172,0.214547,0.2002,0.231817,-0.031617
7,35308,0.214547,0.252305,0.232191,0.273819,-0.041628
8,35308,0.252306,0.311644,0.279651,0.319219,-0.039569
9,35308,0.311644,0.427822,0.36155,0.369605,-0.008055
10,35309,0.427824,0.828966,0.553523,0.502365,0.051158
